Time,Tensao_Inversor
4.30959e-06,199.9953221093275
8.40126e-06,100.0019173185082
8.40126e-06,100.0019173185082
8.61813e-06,100.0020836213434
8.61813e-06,100.0020836213434
1.7009e-05,199.9978392246095
1.7009e-05,199.9978392246095
1.7232e-05,199.9978227497679
1.7232e-05,199.9978227497682
2.29723e-05,100.0020368183819
2.29723e-05,100.0020368183819
3.4199e-05,100.0021294656574
3.4199e-05,100.0021294656574
3.44474e-05,100.0021299770633
3.44474e-05,-199.9978699029373
5e-05,-100.0021836170701
6.84797e-05,-100.002166912058
6.84797e-05,-100.002166912058
6.88275e-05,-100.0021664138499
6.88275e-05,-100.0021664138495
0.0001,-199.9977676020288
0.000136645,-199.9976909327445
0.000136645,-199.9976909327445
0.000137387,-199.9976893546938
0.000137387,-199.9976893546942
0.00015,-100.0020056173229
0.0002,-100.0019584260324
0.00025,-100.0019077415222
0.000271427,-100.0018861591471
0.000271427,-100.0018861591471
0.000273728,-100.0018838473861
0.000273728,199.9981160326133
0.0003,100.0024213038044
0.00035,100.0023654094006
0.0004,100.0023110723255
0.00045,100.0022573167831
0.0005,100.0022038682832
0.000535087,100.0021668736522
0.000535087,100.0021668736522
0.000543376,100.0021580165349
0.000543376,100.0021580165383
0.00055,199.9978463153899
0.0006,199.9977059948029
0.00065,199.9976017152143
0.0007,199.9974990089159
0.00075,199.9973969246311
0.0008,199.9972957191989
0.00085,199.9971954296044
0.0009,199.9970960440057
0.00095,199.9969975409834
0.001,199.9968999123689
0.00104069,199.9968211155548
0.00104069,199.9968211155548
0.00105,199.996803158093
0.00107133,199.9967621547933
0.00107133,199.9967621548058
0.0011,100.0010706543913
0.00115,100.00102787027
0.0012,100.0009854888499
0.00125,100.0009434842521
0.0013,100.0009018895894
0.00135,100.0008605233993
0.0014,100.0008197526039
0.00141535,100.0008073295022
0.00141535,100.0008073295022
0.00145,100.000779212372
0.0015,100.0007390721954
0.00155,100.0006992905817
0.0016,100.0006596240281
0.00165,100.0006207472393
0.0017,100.0005819889555
0.00175,100.0005435797527
0.0018,100.0005054839296
0.00185,100.0004677518866
0.0019,100.0004304201379
0.00195,100.000393927026
0.00197774,100.0003740724771
0.00197774,100.0003740724771
0.002,100.0003566203628
0.00205,100.0003199452209
0.0020872,100.0002927567429
0.0020872,-199.9997071232571
0.0021,-100.0040218698396
0.00215,-100.0039528084346
0.0022,-100.0038844184543
0.00225,-100.0038169884023
0.0023,-100.0037497905252
0.00235,-100.0036828368638
0.0024,-100.0036165057631
0.00245,-100.003551935195
0.0025,-100.0034861711313
0.00255,-100.0034212077593
0.0026,-100.0033608141051
0.00265,-100.0032939387166
0.0027,-100.0032250753918
0.00275,-100.0031690371246
0.0028,-100.0031132045142
0.00285,-100.0030519671615
0.0029,-100.00298731696
0.00295,-100.0029132344395
0.003,-100.0028455102959
0.00305,-100.0027916174906
0.0031,-100.0027448441099
0.00315,-100.0027108055039
0.0032,-100.002667867347
0.00325,-100.0026016945725
0.0033,-100.0025253007819
0.00335,-100.0024378960649
0.0034,-100.0023632847792
0.00345,-100.0023275244878
0.0035,-100.002293462247
0.00355,-100.0022506153526
0.0036,-100.0022021456824
0.00362776,-100.0021712801185
0.00362776,-100.0021712801185
0.00365,-100.0021433267466
0.0037,-100.0020909704458
0.00375,-100.0020391213793
0.0038,-100.0019878197178
0.00385,-100.0019367732023
0.0039,-100.0018863004316
0.00395,-100.0018362721825
0.00399083,-100.0017957422261
0.00399083,-100.001795742219
0.004,-199.9974443039649
0.00405,-199.9973422043244
0.0041,-199.9972414874845
0.00415,-199.9971417126692
0.0042,-199.9970428147022
0.00425,-199.9969448764779
0.0043,-199.9968476177649
0.00435,-199.9967513381546
0.0044,-199.9966559125958
0.00445,-199.9965613149173
0.0045,-199.9964675870146
0.00455,-199.9963746996971
0.0046,-199.9962826420281
0.00465,-199.9961914127894
0.0047,-199.9961010102121
0.00475,-199.9960114237209
0.0048,-199.9959226246066
0.00485,-199.995834603022
0.0049,-199.9957473540114
0.00495,-199.9956608815699
0.005,-199.9955751729817
0.00505,-199.9954902310416
0.0051,-199.9954060634084
0.00515,-199.9953226721568
0.0052,-199.9952400336039
0.00525,-199.9951581171355
0.0053,-199.9950769157126
0.00535,-199.994996436072
0.0054,-199.9949166846131
0.00545,-199.9948376518287
0.0055,-199.994759329227
0.00555,-199.9946817084311
0.0056,-199.9946047830575
0.00565,-199.9945285434234
0.0057,-199.9944529774579
0.00575,-199.9943780696208
0.0058,-199.9943038414266
0.00585,-199.994230283127
0.0059,-199.9941573816171
0.00595,-199.994085130949
0.006,-199.9940135256819
0.00605,-199.9939425608811
0.0061,-199.9938722292335
0.00615,-199.9938025262467
0.0062,-199.9937334467427
0.00625,-199.9936649863345
0.0063,-199.9935971405143
0.00635,-199.9935299047095
0.00635983,-199.9935167523249
0.00635983,-199.9935167523249
0.0064,-199.9934632670445
0.00645,-199.9933972236709
0.0065,-199.993331738181
0.00655,-199.9932668293073
0.0066,-199.9932025341046
0.00665,-199.9931388337768
0.0067,-199.9930757313493
0.00675,-199.993013191538
0.0068,-199.9929511380033
0.00685,-199.9928896221786
0.0069,-199.9928288093998
0.00695,-199.9927685933559
0.007,-199.992708627722
0.00705,-199.9926490445042
0.0071,-199.9925905469844
0.00715,-199.9925330876491
0.0072,-199.9924761279
0.00725,-199.992419422573
0.0073,-199.9923624544368
0.00735,-199.9923046014947
0.0074,-199.9922483824126
0.00744393,-199.9921995529962
0.00744393,-199.9921995530531
0.00745,-99.99654224821518
0.0075,-99.99653118795908
0.00755,-99.9965290273459
0.0076,-99.99652691291436
0.00765,-99.99652479771441
0.0077,-99.99652268664516
0.00775,-99.99652059008775
0.0078,-99.99651857273574
0.00785,-99.99651650798882
0.0079,-99.9965144370363
0.00795,-99.99651261139138
0.008,-99.99651050997744
0.00805,-99.99650821738464
0.0081,-99.99650653876205
0.00815,-99.9965044972036
0.0082,-99.99650230815189
0.00825,-99.99650188474931
0.0083,-99.99649909206073
0.00835,-99.99649542830457
0.0084,-99.9964999108135
0.00845,-99.99649264792146
0.0085,-99.99648093457722
0.00855,-99.99649341867087
0.0086,-99.99648819233289
0.00865,-99.99648547607399
0.0087,-99.99648520583008
0.00875,-99.99648336771583
0.0088,-99.99648184881698
0.00885,-99.99647999622789
0.0089,-99.99647831363467
0.00895,-99.99647668069611
0.009,-99.99647510940116
0.00905,-99.99647351032854
0.0091,-99.99647193241339
0.00915,-99.99647038127466
0.0092,-99.99646886332573
0.00925,-99.99646737355442
0.0093,-99.99646588432569
0.00935,-99.99646440807311
